# Glossary in tab-separated format -*- coding: utf-8 -*-
Biblical Theology	ศาสนศาสตร์พระคัมภีร์
genre	ประเภทวรรณกรรม
structure	โครงสร้าง
principle	หลักการ
Dig & Discover	ขุดค้นและค้นพบ
Transformational Intent	เจตนาสู่การเปลี่ยนแปลง
Main Idea	ใจความสำคัญ
Session	เซสชั่น
Genre	ประเภทวรรณกรรม
Study to Sermon	จากการศึกษาสู่คำเทศนา
Text and Framework	เนื้อหาและกรอบแนวความคิด
Traveling Instructions	เส้นทางสู่การประยุกต์ใช้
Pre-Assignment	งานมอบหมายล่วงหน้า
expository sermon	คำเทศนาแบบอรรถาธิบาย
expository preaching	การเทศนาแบบอรรถาธิบาย
